time,water_temp,flow_rate,motor_vibration,power_consumption,control_signal,fault_leakage,fault_clogging,fault_bearing_wear
1.0,21.001,49.9777,0.314,0.4936,0.0,0.0,0.0,0.0
2.0,20.5113,49.9465,0.2957,3.1334,0.5005,0.0,0.0,0.0
3.0,20.6644,50.1313,0.3022,2.1206,0.31571,0.0,0.0,0.0
4.0,20.3773,50.2622,0.3008,2.8202,0.442958,0.0,0.0,0.0
5.0,20.3286,49.9375,0.3098,2.3785,0.349498,0.0,0.0,0.0
6.0,20.333,50.0496,0.3156,2.34,0.361074,0.0,0.0,0.0
7.0,20.1822,49.476,0.2879,2.5045,0.390536,0.0,0.0,0.0
8.0,20.3042,49.7562,0.3169,2.2438,0.341688,0.0,0.0,0.0
9.0,20.1341,50.0229,0.3164,2.7384,0.42028,0.0,0.0,0.0
10.0,20.2198,50.0957,0.2875,2.339,0.357126,0.0,0.0,0.0
11.0,20.1205,49.95,0.3467,2.6331,0.414106,0.0,0.0,0.0
12.0,20.1329,50.2844,0.3101,2.5385,0.380326,0.0,0.0,0.0
13.0,20.1081,49.7154,0.2894,2.6379,0.398152,0.0,0.0,0.0
14.0,20.0466,50.0506,0.2937,2.6159,0.396136,0.0,0.0,0.0
15.0,20.2125,50.124,0.2878,2.4382,0.37453,0.0,0.0,0.0
16.0,20.025,49.8866,0.2986,2.9653,0.462438,0.0,0.0,0.0
17.0,20.024,49.6317,0.2784,2.4791,0.38237,0.0,0.0,0.0
18.0,20.1101,49.9963,0.3052,2.5434,0.38762,0.0,0.0,0.0
19.0,20.0646,50.0547,0.2798,2.8164,0.43261,0.0,0.0,0.0
20.0,20.0729,49.994,0.3391,2.671,0.416946,0.0,0.0,0.0
21.0,20.0227,49.8967,0.2774,2.7351,0.427174,0.0,0.0,0.0
22.0,20.0653,50.1378,0.2525,2.6762,0.40774,0.0,0.0,0.0
23.0,19.9517,49.8745,0.3,2.8535,0.43186,0.0,0.0,0.0
24.0,19.9705,50.2724,0.2911,2.4738,0.379432,0.0,0.0,0.0
25.0,19.9487,50.044,0.2758,2.5773,0.38724,0.0,0.0,0.0
26.0,20.1417,50.0562,0.3273,2.3963,0.373604,0.0,0.0,0.0
27.0,19.9546,50.3491,0.2664,2.9983,0.466436,0.0,0.0,0.0
28.0,20.0984,50.1425,0.301,2.4708,0.380362,0.0,0.0,0.0
29.0,19.9199,49.9617,0.3404,2.8444,0.452372,0.0,0.0,0.0
30.0,19.9337,49.9209,0.3052,2.4738,0.368118,0.0,0.0,0.0
31.0,20.0298,49.7766,0.3092,2.4798,0.37218,0.0,0.0,0.0
32.0,19.9417,50.2267,0.3018,2.7119,0.41465,0.0,0.0,0.0
33.0,20.0597,50.0573,0.3431,2.4603,0.371062,0.0,0.0,0.0
34.0,19.9468,50.2966,0.3024,2.7686,0.42716,0.0,0.0,0.0
35.0,19.9875,49.6547,0.306,2.4704,0.373126,0.0,0.0,0.0
36.0,19.9985,50.1215,0.2801,2.5812,0.391478,0.0,0.0,0.0
37.0,19.8807,50.0906,0.2991,2.5373,0.395164,0.0,0.0,0.0
38.0,20.0447,49.8845,0.308,2.3144,0.335924,0.0,0.0,0.0
39.0,19.9448,50.0006,0.3453,2.5632,0.410736,0.0,0.0,0.0
40.0,19.9777,49.98,0.338,2.3953,0.361082,0.0,0.0,0.0
41.0,19.9823,50.0701,0.2902,2.4348,0.375114,0.0,0.0,0.0
42.0,19.9408,50.0405,0.2579,2.5687,0.374972,0.0,0.0,0.0
43.0,20.0516,49.7986,0.3059,2.51,0.352714,0.0,0.0,0.0
44.0,19.8205,49.8907,0.3094,2.6568,0.404208,0.0,0.0,0.0
45.0,20.0235,49.6795,0.2913,2.0875,0.29057,0.0,0.0,0.0
46.0,19.8377,49.993,0.328,2.6136,0.382332,0.0,0.0,0.0
47.0,20.0402,49.752,0.2831,2.0104,0.287252,0.0,0.0,0.0
48.0,19.9666,49.9044,0.277,2.4521,0.379234,0.0,0.0,0.0
49.0,19.9634,49.5375,0.2933,2.3159,0.3416,0.0,0.0,0.0
50.0,19.981,50.2003,0.292,2.2415,0.3388,0.0,0.0,0.0
51.0,19.9971,50.1988,0.3097,2.4764,0.344736,0.0,0.0,0.0
52.0,19.9497,50.0615,0.2956,2.4581,0.350914,0.0,0.0,0.0
53.0,19.8924,49.92,0.3086,2.2541,0.32666,0.0,0.0,0.0
54.0,19.8181,49.6187,0.2986,2.0432,0.294934,0.0,0.0,0.0
55.0,19.9737,49.7552,0.2595,1.8306,0.250322,0.0,0.0,0.0
56.0,20.012,50.1582,0.2962,2.2215,0.315056,0.0,0.0,0.0
57.0,19.9041,49.8959,0.2883,2.1189,0.32899,0.0,0.0,0.0
58.0,19.9977,49.9275,0.2857,1.9636,0.275234,0.0,0.0,0.0
59.0,19.9772,49.8985,0.2882,2.1582,0.31652,0.0,0.0,0.0
60.0,19.9154,50.0122,0.3369,2.1443,0.304214,0.0,0.0,0.0
61.0,19.9573,50.134,0.2772,1.9431,0.2719,0.0,0.0,0.0
62.0,19.9285,50.3999,0.3113,1.9133,0.287318,0.0,0.0,0.0
63.0,19.9674,50.0003,0.3093,1.93,0.268664,0.0,0.0,0.0
64.0,19.8657,50.1545,0.326,2.0808,0.28297,0.0,0.0,0.0
65.0,19.9509,50.1539,0.2617,1.7815,0.228734,0.0,0.0,0.0
66.0,19.9422,50.402,0.3129,1.7842,0.262624,0.0,0.0,0.0
67.0,19.9783,50.0223,0.2907,1.895,0.252642,0.0,0.0,0.0
68.0,19.986,50.3628,0.2835,1.9083,0.266242,0.0,0.0,0.0
69.0,19.9667,50.1296,0.3019,1.8579,0.267634,0.0,0.0,0.0
70.0,20.0812,49.9666,0.2873,1.8085,0.25671,0.0,0.0,0.0
71.0,19.9698,50.0919,0.2963,2.1672,0.311682,0.0,0.0,0.0
72.0,20.0286,49.9634,0.3166,1.8996,0.260188,0.0,0.0,0.0
73.0,19.9167,49.812,0.2852,1.9701,0.2894,0.0,0.0,0.0
74.0,20.0284,50.314,0.3456,1.7327,0.234562,0.0,0.0,0.0
75.0,19.9204,49.9849,0.2702,1.9889,0.285986,0.0,0.0,0.0
76.0,20.0075,49.8463,0.2848,1.8075,0.232024,0.0,0.0,0.0
77.0,19.9502,49.9254,0.3191,1.8904,0.271366,0.0,0.0,0.0
78.0,20.0751,50.1498,0.328,1.7407,0.241574,0.0,0.0,0.0
79.0,19.9608,49.9207,0.3239,2.1223,0.301186,0.0,0.0,0.0
80.0,19.9685,50.1123,0.2874,1.7534,0.247546,0.0,0.0,0.0
81.0,20.0302,49.5758,0.3072,1.8241,0.250546,0.0,0.0,0.0
82.0,20.0532,50.1223,0.2879,1.9298,0.278722,0.0,0.0,0.0
83.0,19.9419,49.9335,0.2874,2.0334,0.291404,0.0,0.0,0.0
84.0,20.0604,50.227,0.3046,1.7419,0.23955,0.0,0.0,0.0
85.0,20.0214,50.1056,0.329,2.0186,0.296378,0.0,0.0,0.0
